EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Flood	Northwestern British Columbia	08/10/1991 12:00:00 AM	Northwestern British Columbia, October 8-14, 1991.  Flooding due to heavy rainfall along the Kitimat, Skeena and Nass rivers caused damage in Terrace, Stewart and Prince Rupert. Highways and forest service roads flooded and washed out, and numerous bridges were damaged or destroyed. There was erosion damage to spawning beds, and some landslides resulted. Communities along the Nass River isolated were isolated; fresh food had to be flown in through the Provincial Emergency Program.						14/10/1991 12:00:00 AM								4150761	0.0	
Incident	Technology	Hazardous Chemicals	Fire	Grand Coulee SK	20/11/1991 12:00:00 AM	Grand Coulee SK, November 20, 1991. A fire in a storage depot containing 45 gallons of cyanide salts and 2500 gallons of bulk farm pesticide, phosphorus and a sodium-based chemical forced the evacuation of the 200 residents of Grand Coulee for about three hours.	0	0	200			20/11/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Central Ontario	30/11/1991 12:00:00 AM	Central Ontario, November 30, 1991.	0	0	0	5982309.0000	433500.7	30/11/1991 12:00:00 AM	0.0000	0.0000				5982309.0000		0	0.0	
Incident	Technology	Hazardous Chemicals	Marine Release	Haines AB	06/12/1991 12:00:00 AM	Haines AB, December 6, 1991. A frozen oil rig blew out while crews tried to thaw the pipes; crude oil (ground spill) and sour gas (airborne) were released continuously over 17 hours; complaints about odour were received from 20 km north of the site; 170 people were evacuated.	0	0	170			06/12/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1992 12:00:00 AM	Prairie provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.	0	0	0	580597523.0000	41471251.6	01/01/1992 12:00:00 AM			135289.0000		580462234.0000			0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Lethbridge AB	01/01/1992 12:00:00 AM	Lethbridge AB, 1992.	0	0	0	219277.0000	15662.6	01/01/1992 12:00:00 AM			219277.0000					0	0.0	
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Corunna ON	21/01/1992 12:00:00 AM	Corunna ON, January 21, 1992. Abnormal discharge from a refinery of approximately 1000 kg of benzene, toluene and xylene into a sewer which drains to Telford Creek and St. Clair River; Wallaceburg and Walpole drinking water intakes were both closed for two days as the contamination moved down the river; a related fish kill was reported and the incident resulted in a conviction under the Ontario Environmental Protection Act.	0	0	0			21/01/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Maritimes provinces	01/02/1992 12:00:00 AM	Maritimes, February 1-4, 1992.  A 110-hour-long blizzard with gusts up to 140 km/h brought record snowfall of 163 cm to Moncton, New Brunswick; several other cities recorded more than 100 cm of snow; traffic was brought to a standstill; many stranded motorists had to be rescued, and many schools and businesses throughout the Maritimes were closed in the aftermath.	0	0	0			04/02/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technology	Fire	Residential	Montréal QC	16/02/1992 12:00:00 AM	Montréal QC, February 16, 1992. Four large, commercial and residential heritage buildings in Old Montréal near historic Notre Dame Basilica were totally destroyed in a ten-hour blaze fought by more than 100 fire fighters; the Basilica, constructed between 1824 and 1829, sustained extensive smoke damage and broken windows.	0	0	0			16/02/1992 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	28/08/1992 12:00:00 AM	Edmonton AB, August 28, 1992.	0	0	0	20170168.0000	1440726.3	28/08/1992 12:00:00 AM			14434443.0000			5735725.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Elmira ON	28/08/1992 12:00:00 AM	Elmira ON, August 28, 1992.	0	0	0	4738539.0000	338467.1	28/08/1992 12:00:00 AM	0.0000	0.0000				4738539.0000		0	0.0	
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Port au Choix NL	31/01/1992 12:00:00 AM	Port au Choix NL, January 31, 1992. 120,000 litres of diesel oil leaked from a storage tank and flowed downhill into the harbour; the major concern was the contamination of a lobster pond near the spill site which resulted in the lobsters being landed and stored in a holding area; a significant amount of oil was trapped by shorefast ice and a log boom was deployed to try and contain the contaminated ice; public concern was raised about fumes from the ice during spring thaw; charges under the Fisheries Act were brought against the manager of the fuel terminal.	0	0	0			31/01/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Peace River AB	28/02/1992 12:00:00 AM	Peace River, 388 km northwest of Edmonton AB, February 28 - March 4, 1992. Unseasonably warm weather broke up the frozen Peace River, ice jams caused water levels to rise 4.3 m above average; water levels peaked at 15 m; extensive flooding necessitated the evacuation of approximately 3800 residents of the town for at least three days; approximately 20 homes sustained severe damage, 30 others were damaged but could be occupied; no deaths or injuries were reported.	0	0	3800	2866371.0000	204740.8	04/03/1992 12:00:00 AM			2866371.0000					0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Sainte-Brigitte-de-Laval, about 40 km north of Québec City QC	12/03/1992 12:00:00 AM	Sainte-Brigitte-de-Laval, about 40 km north of Québec City QC, March 12, 1992. Approximately 40 people were airlifted from this community on Ile Enchanteresse (a mile long island 40km north of QuÃƒÂ©bec City) when flood waters caused by an ice jam on the Montmorency River rapidly inundated the town, flooding 80 houses; two QuÃƒÂ©bec government helicopters and one Canadian Forces helicopter were used in the evacuation.	0	0	40	1012311.0000	72307.9	12/03/1992 12:00:00 AM			1012311.0000					0	0.0	
Incident	Technology	Hazardous Chemicals	Marine Release	Port-aux-Basques NL	13/03/1992 12:00:00 AM	23 miles west of Port-aux-Basques NL, March 13, 1992. The Panamanian bulk carrier M/V SKRIM sustained ice damage and leaked approximately 145 m³ of heavy oil into the ice near the vessel and onto the southwest shore of Newfoundland; some locations reported a thickness of 0.5 cm of oil on the rocks; clean-up operations were conducted.	0	0	0			13/03/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Sarnia ON	19/03/1992 12:00:00 AM	Sarnia ON, March 19, 1992. A problem with a heat exchanger unit of a rubber manufacturing plant caused the release of 1500 kg of  isobutylene to the St. Clair River in two consecutive spills, Mar. 19-20, 1992.; drinking water intakes were interrupted.	0	0	0			19/03/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technology	Hazardous Chemicals	Vehicle Release	Nanaimo BC	26/03/1992 12:00:00 AM	Nanaimo BC, March 26, 1992. A tanker truck overturned in a residential area and leaked a total of 200 litres of methanol; three nearby apartment buildings (approximately 200 people) were evacuated for 5 hours, and traffic was detoured; concern of the methanol reaching marine waters via storm sewer.	0	0	200			26/03/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Hay River NT	25/04/1992 12:00:00 AM	Hay River NT, April 25, 1992. Approximately 100 residents were evacuated as a 10-kilometre-deep ice jam at the mouth of the Hay River flooded the town of 3100 people.	0	0	100			25/04/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technology	Explosion	Non-Residential	Plymouth NS	09/05/1992 12:00:00 AM	Plymouth NS, May 9, 1992. A coal-dust explosion detonated by burning methane gas at the Westray Mine (on the Foord Seam) in Plymouth, killed 26 miners of which 11 were killed by the explosion and the other 15 were presumed dead when rescue attempts were abandoned due to dangerous conditions and risk of another explosion.	26	0	0			09/05/1992 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Attawapiskat ON	18/05/1992 12:00:00 AM	Attawapiskat ON, May 18, 1992. Approximately 1000 residents of this remote Cree village near James Bay were evacuated when the Attawapiskat River flooded.	0	0	1000			18/05/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technology	Hazardous Chemicals	Derailment Release	Longlac ON	25/05/1992 12:00:00 AM	Longlac ON, May 25, 1992. A freight train carrying 4 ammonia cars derailed causing a small leak in two of the cars; the damaged cars were pumped off and the other two were vented, releasing 453.6 kg of anhydrous ammonia to the atmosphere in a remote area; 800 people were evacuated for 3 days.	0	0	800			25/05/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Cold Event	Prairies provinces and Ontario	01/01/1992 12:00:00 AM	Prairie provinces and Ontario, Summer 1992.  Unseasonable snow and frost during the months of June, July, and August caused massive damage to agricultural crops.	0	0	0	2000000.0000	142857.1	01/01/1992 12:00:00 AM			2000000.0000					0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Toronto ON	31/07/1992 12:00:00 AM	Toronto ON, July 31, 1992.	0	0	0	5337940.0000	381281.4	31/07/1992 12:00:00 AM	0.0000	0.0000				5337940.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Calgary AB	31/07/1992 12:00:00 AM	Calgary AB, July 31, 1992.	0	0	0	38495497.0000	2749678.4	31/07/1992 12:00:00 AM			14434443.0000			24061054.0000		0	0.0	
Incident	Technology	Hazardous Chemicals	Derailment Release	Oakville MB	18/12/1992 12:00:00 AM	Oakville MB, December 18, 1992. A 29-car derailment of a 41-car train and subsequent Chemical release caused the evacuation of the 410 residents of Oakville near Portage la Prairie for 24 days during the Christmas-New Year's period (Dec 18, 1992 to January 10, 1993).	0	0	410			18/12/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Yukon Rivers YT	17/06/1992 12:00:00 AM	Yukon rivers YT, June 17 – July 1992. Above-average snowpack and precipitation combined with high winter temperatures caused flooding along the Upper Liard River basin, Teslin River basin, South Canol Area, Upper Lakes of the Yukon River basin, Stewart River and Bennett Lake.  The Upper Liard River basin peaked on June 17, the fifth highest record since 1960; Teslin River peaked on June 25, breaking the old record set in 1947; Yukon Upper Lakes peaked on July 30, the 3rd highest record since 1951. Flooding caused road washouts, damage to private property and reserves, and significant threats to water and sewere facilities. The hardest hit communities were: Upper Liard, Carmacks, Carcross and Teslin.	0	0	0	228636.0000	16331.1	30/07/1992 12:00:00 AM	147321.0000	81315.0000						0	0.0	
Incident	Conflict	Terrorist	Bomb Attacks	Yellowknife NT	18/09/1992 12:00:00 AM	Yellowknife NT, September 18, 1992. A rail car in the Giant Yellowknife gold mine, 230 metres below ground, was ripped apart by a massive explosion, killing nine miners aboard; all had crossed a picket line to continue working during a legal strike which had begun five months earlier; six of the dead were former strikers while the other three were replacement workers; RCMP investigators said a deliberately-planted home-made bomb caused the blast; during the strike there had been picket line violence, deliberately set fires and at least two earlier, non-fatal, explosions.	9	0	0			18/09/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Avalon and Burin Peninsulas and Bonavista, Trinity and Conception Bays NL	06/10/1992 12:00:00 AM	Avalon and Burin Peninsulas and Bonavista, Trinity and Conception Bays NL, October 6, 1992. A violent storm struck on the evening of the October 6 with winds of 139 km/h in some areas and 55 mm of rain; utility services were disrupted in many areas; the Canadian Coast Guard was kept busy with calls for assistance and for a period of time all flights in and out of St. John's International Airport were cancelled; several local area schools, a hospital, businesses and private residences were damaged; the storm continued unabated into Thursday October 8, with winds having subsided to the 70 km/h range.  About 2000 trees in St. John's were destroyed and many boats and fishing vessels were destroyed or damaged.	0	0	0	8945037.0000	638931.2	06/10/1992 12:00:00 AM						8945037.0000		0	0.0	
Incident	Technology	Fire	Residential	St. John's NL	21/12/1992 12:00:00 AM	St. John's NL, December 21, 1992. 500 evacuated; the city's worst fire in 50 years touched off a series of propane tank explosions and forced evacuation of approximately 500 people, destroyed 11 businesses and left approximately 100 people homeless; the fire started in the 82-year-old Church Lads Brigade armoury; arson was suspected.	0	0	600			21/12/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Biological	Epidemic	Prince Edward Island and New Brunswick	01/01/1993 12:00:00 AM	PVYN Potato Virus, Prince Edward Island and New Brunswick, 1993. Potato crops were affected.	0	0	0			01/01/1993 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie provinces	01/01/1993 12:00:00 AM	Prairie provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.	0	0	0			01/01/1993 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Eastern Canada	15/03/1993 12:00:00 AM	Eastern Canada off Cape Sable Island NS, March 15, 1993. March blizzards caused by a mid-latitude cyclone which moved up the North American eastern seaboard eventually claimed more than 240 lives; at one point over 3 million people were left without electricity. On the 15th, the storm caused the sinking of the 177 metre Liberian-registered freighter, "Gold Bond Conveyor". Loaded with gypsum, it sank about 200 km off Cape Sable Island in waves up to 20 m and winds gusting up to 120 km/h, after setting sail from Halifax, Nova Scotia, despite warnings of hurricane-force winds.  Most crew members were from Hong Kong; there were no survivors of the 33 aboard.	33	0	0	19866000.0000	1392476.6	15/03/1993 12:00:00 AM						19866000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Upper Saint John River Valley NB	12/04/1993 12:00:00 AM	Upper Saint John River valley NB, April 1993. Intense spring rainfall and deeper than normal snowpack caused flooding of the Upper Saint John River valley. Public and private property and municipalities incurred damage; individuals made over 300 damage claims due to flooded basements. A sewage treatment plant, sections of the TransCanada Highway and Hotel-Dieu Hospital all sustained damage. Ice, mud and uprooted trees were scattered across the area. The following communities were inundated: Siegas, Fredericton, RiviÃ¨re Verte, Village of Perth-Andover, Village of Plaster Rock, Ste. Anne de Madawaska, Town of Woodstock, St. FranÃ§ois and Quisesibis.	0	0	300	14973222.0000	1049524.9	12/04/1993 12:00:00 AM	6500013.0000	2349112.0000	3808712.0000		2315385.0000			0	0.0	
Incident	Technology	Hazardous Chemicals	Vehicle Release	Shubenacadie NS	27/04/1993 12:00:00 AM	Shubenacadie NS, April 27, 1993. A tractor trailer and pup trailer containing hazardous materials hit an ice patch and overturned, causing the leak of chemicals including nitric acid, potassium hydroxide and sodium hydroxide; 20 homes were evacuated (50-60 people) for a few hours; a school was closed for the day (480 students); the highway was closed during the response and clean-up; environmental damages were minimal.	0	0	60			27/04/1993 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Saskatchewan	29/07/1993 12:00:00 AM	Saskatchewan, July 29, 1993.	0	0	0	6503703.0000	455867.0	29/07/1993 12:00:00 AM			613703.0000			5890000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Quebec	29/07/1993 12:00:00 AM	Quebec, July 29-30, 1993.	0	0	0	10017238.0000	702142.9	30/07/1993 12:00:00 AM			1675238.0000			8342000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	29/07/1993 12:00:00 AM	Edmonton AB, July 29, 1993.	0	0	0	21095828.0000	1478679.5	29/07/1993 12:00:00 AM			12398407.0000			8697421.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Swan River MB	04/07/1993 12:00:00 AM	Swan River MB, July 4, 1993. Prolonged rains resulted in severe flooding in the rural municipalities of Swan River, Minitonas, Ethelbert, the Local Government district of Mountain and adjoining municipalities, causing extensive damage to homes, public utilities and municipal infrastructure. 7 bridges washed away.  3 highways and numerous roads closed. 650 homes were evacuated.	0	0	650	5738341.0000	402220.2	04/07/1993 12:00:00 AM	2935683.0000	2802658.0000						0	0.0	
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Truro NS	14/07/1993 12:00:00 AM	Truro NS, July 14, 1993. A refrigeration leak resulted in liquid anhydrous ammonia flowing into a floor drain and into the Salmon River causing a major fish kill.	0	0	0			14/07/1993 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Winnipeg MB	25/07/1993 12:00:00 AM	Winnipeg MB, July 25 - August 14, 1993. The City of Winnipeg was declared a disaster area because of flooding caused by prolonged heavy rainfall; three severe rainstorms in a five-week period during July caused sewer backups and other extensive damage to homes, power lines, and agricultural land infrastructure in Winnipeg and surrounding areas including Selkirk, Springfield and Beausejour.  Wettest summer in Winnipeg in 120 years.	0	0	0	214807255.0000	15056583.3	14/08/1993 12:00:00 AM	11555527.0000	3763948.0000				199487780.0000		0	0.0	
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Windsor ON	17/10/1993 12:00:00 AM	Windsor ON, October 17, 1993. A leaking fuel line connected to a storage tank released 4500 litres of fuel oil to the storm sewer system which leads to the outfall into the Little River and subsequently into the Detroit River; the outfall and then the entrance to the Detroit River were boomed; 30 to 40 ducks were affected; area Wildlife Rescue performed bird rescue and clean-up operations.	0	0	0			17/10/1993 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Quebec and Ontario	01/11/1993 12:00:00 AM	Ontario and Quebec, November 1993 – March 1994.	0	0	0			01/03/1994 12:00:00 AM								0	0.0	
Incident	Technology	Infrastructure failure	Manufacturing / Industry	Kirkland Lake ON	26/11/1993 12:00:00 AM	Kirkland Lake ON, November 26, 1993. Two miners were trapped following a rockburst 2 km below the surface: rescue efforts failed: the bodies were not recovered.	2	0	0			26/11/1993 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Cold Event	Alberta to Maritimes	23/01/1994 12:00:00 AM	Alberta to the Maritimes, late January to early February 1994. Coldest Jan. in 100 years.  St. John's NF 14.5Â°C; Ottawa ON -31.3Â°C; Kapuskasing ON -40Â°C, tires fell off rims of cars.  Coldest winter in Toronto since 1920, with double the normal snowfall as usual in January and 5 degrees cooler (at 10Â°C).  Dramatic increase in frozen water pipes that burst and caused damage to homes, commercial plants and contents.	0	0	0	45995.0000	3220.2	06/02/1994 12:00:00 AM			45995.0000					0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Montreal and area QC	05/01/1994 12:00:00 AM	Montreal QC, January 5, 1994. Snowfalls of up to 25 cm, winds gusting to 70 km/hr, temperatures of 18°C or lower and almost zero visibility caused major highway accidents that killed at least 6 people near Montréal and caused up to 100-car pileups; airports, bus terminals and many highways, bridges and tunnels were closed; prolonged power failures left about 6000 homes in Montréal without heat or light overnight.	6	0	0			05/01/1994 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Southern ON	16/01/1994 12:00:00 AM	Southern ON, January 16-17, 1994.	0	0	0	14299000.0000	1001096.8	17/01/1994 12:00:00 AM	0.0000	0.0000				14299000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern ON	28/01/1994 12:00:00 AM	Southern ON, January 28, 1994.	0	0	0	6799000.0000	476009.3	28/01/1994 12:00:00 AM	0.0000	0.0000				6799000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Plaster Rock NB and Lower St. Lawrence Region QC	16/04/1994 12:00:00 AM	Plaster Rock NB and Lower St. Lawrence Region, QC, April 16-26, 1994. Freshet during the spring and one rainstorm caused flooding of the Saint John and Miramachi Rivers. Flooded basements, riverbank erosion and damaged roads was incurred by private, municipal and provincial property. Over 130 residences, 20 farms, 14 small businesses and the following 4 municipalities were affected: Village of Clair, St. François, Rivière Verte and Plaster Rock.  In Quebec, ice jams along the Matapédia, Restigouche and Gaspésie Rivers caused flooding. Thirty-two municipalities were flooded, including the following: Rimouski, Matane, Bonaventure, Restigouche, Matapédia, Petite Cascapédia and Capchat. Matapédia was isolated for 2 days without electricity or telephone service; 100 people were evacuated. Three bridges were washed away in the lower St. Lawrence area, and communication between southern and northern St. Lawrence shore was cut.	0	0	0	57025698.0000	3992464.3	26/04/1994 12:00:00 AM	1944488.0000	31903387.0000	1681761.0000	21496062.0000				0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Manitoba	18/05/1994 12:00:00 AM	Southern MB, May 18, 1994.	0	0	0	9074000.0000	635285.9	18/05/1994 12:00:00 AM	0.0000	0.0000				9074000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Saskatchewan	22/05/1994 12:00:00 AM	Saskatchewan, May 22, 1994.	0	0	0	9589470.0000	671374.8	22/05/1994 12:00:00 AM			69470.0000			9520000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Alberta	18/06/1994 12:00:00 AM	Southern Alberta, June 18, 1994.	0	0	0	30969155.0000	2168202.2	18/06/1994 12:00:00 AM			21910155.0000			9059000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	British Columbia	24/07/1994 12:00:00 AM	British Columbia, July 24, 1994.  A Forest fire that destroyed 5.9 ha of land caused the evacuation of 3000 people.	0	0	4169			24/07/1994 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Quebec	01/01/1995 12:00:00 AM	Quebec, 1995.	0	0	0	57478.0000	3936.8	01/01/1995 12:00:00 AM			57478.0000					0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	04/07/1995 12:00:00 AM	Edmonton AB, July 4, 1995.	0	0	0	34511612.0000	2363809.0	04/07/1995 12:00:00 AM			18858612.0000			15653000.0000		0	0.0	
Incident	Technology	Explosion	Non-Residential	Sydney NS	25/05/1994 12:00:00 AM	Sydney NS, May 25, 1994. An explosion and fire of a PCB transformer at a steel factory threatened to cause a major toxic discharge; the surrounding residents were alerted by the noise, pungent, thick smoke, and simultaneous electrical black-out; 500 residents downwind of Witney Pier were evacuated to at least 10 km away; analysis of the soil in the residential area did not reveal contamination by PCB, dioxin, nor furan; a five-week clean-up by specialised contractors was carried out, producing 15 barrels of hazardous waste requiring authorised disposal.	0	0	500			25/05/1994 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southwestern Manitoba	01/08/1994 12:00:00 AM	Southwestern MB, August 1, 1994.  The hailstorm caused 100% damage in some parts of the province.  About 1000 people were affected.	0	0	0	3189873.0000	223328.3	01/08/1994 12:00:00 AM				3189873.0000				0	0.0	
Disaster	Natural	Meteorological - Hydrological	Tornado	Aylmer QC	04/08/1994 12:00:00 AM	Aylmer QC, August 4, 1994. A F3 tornado hits the heavily populated district of Aylmer. 385 houses sustained damages, 12 being totally destroyed and 40 being heavily damaged. 250 families had to be evacuated (based on family of 4), and 4 people were injured.	0	4	1000	7786393.0000	545138.4	04/08/1994 12:00:00 AM			246393.0000			7540000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Salmon Arm BC	04/08/1994 12:00:00 AM	Salmon Arm BC, August 4, 1994.	0	0	0	11155000.0000	780980.2	04/08/1994 12:00:00 AM	0.0000	0.0000				11155000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Manitoba	27/08/1994 12:00:00 AM	Southern MB, August 27, 1994.	0	0	0	14196201.0000	993899.7	27/08/1994 12:00:00 AM			5346201.0000			8850000.0000		0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern ON	28/08/1994 12:00:00 AM	Southern ON, August 28, 1994.	0	0	0	7876000.0000	551411.9	28/08/1994 12:00:00 AM	0.0000	0.0000				7876000.0000		0	0.0	
Incident	Technology	Hazardous Chemicals	Derailment Release	Lethbridge AB	17/10/1994 12:00:00 AM	Lethbridge AB, October 17, 1994. Six railway cars containing a total of 250 tonnes of methanol became derailed from some damaged tracks just north of downtown Lethbridge; the seals were broken on two of the cars, allowing the methanol to escape; local fire fighters attempted to limit the spread of the chemical by erecting earth dams, covering the spill with extinguishing foam, and filling the rail cars with water; electricity and natural gas supply were cut; 200 people were evacuated for 24 hours.	0	0	200			17/10/1994 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technology	Explosion	Non-Residential	Montreal QC	21/10/1994 12:00:00 AM	Montreal QC, October 21, 1994. A building of a bankrupt petrochemical industry was being cleaned and prepared for use after three years of inactivity; an unused reservoir of 700 m³ of a mix of fuel-oil and light hydrocarbons exploded and burned; two workers were nearby, one was killed immediately, the other suffered burns on 80% of the body and died soon after; it took 50 fire fighters 3 hours to extinguish the blaze; a 2 month clean-up and preparation preceded the restart of paraxylene production.	2	0	0			21/10/1994 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Avalon area of Newfoundland and Labrador	08/12/1994 12:00:00 AM	Avalon area of Newfoundland and Labrador, December 8-12, 1994. A severe storm with winds up to 168 km/hr and a build-up of wet snow of up to 15 cm in diameter on wires caused major damage to the transmission and distribution systems on the Avalon, Burin and Bonavista Peninsulas.  For various periods of time, service was disrupted to approximately 100,000 customers.  Full service was not restored to all customers until Dec.16.	0	0	0			12/12/1994 12:00:00 AM	0.0000	0.0000						3189873	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Poplar Bay AB	01/01/1995 12:00:00 AM	Poplar Bay AB, 1995.	0	0	0	35830.0000	2454.1	01/01/1995 12:00:00 AM			35830.0000					0	0.0	
Incident	Technology	Hazardous Chemicals	Derailment Release	Hervey Junction QC	21/01/1995 12:00:00 AM	Hervey Junction QC, January 21, 1995. 28 of 44 rail cars containing sulphuric acid became derailed and spilled the majority of their contents; a total of 234 m³ of acid spilled into Masketi Lake and the Towachiche River; the pH of the lake descended to 2.7 but rose to 5.3 after the addition of 170 tonnes of limestone and soda; all vegetation and wildlife were destroyed; the lake was closed for recreation for eight years, the river for five.	0	0	0			21/01/1995 12:00:00 AM	0.0000	0.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Avalanche	Blanc Sablon QC	10/03/1995 12:00:00 AM	Blanc Sablon (lower north coast) QC, March 10, 1995. An large snow storm provoked an avalanche (2000 m³ of snow).  Two people were killed, a house destroyed, 24 residences were evacuated. The avalanche affected 69 people in total.	2	0	69	368160.0000	25216.4	10/03/1995 12:00:00 AM			368160.0000					0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	North Central Saskatchewan	29/05/1995 12:00:00 AM	North central Saskatchewan, May 29, 1995. Lightning started 56 fires on May 29 and as the season progressed, 2,500 people were evacuated from 16 communities and 18 highways were closed. At the height of the outbreak, 4,000 people were fighting the fires.  While there was no loss of life and minimal loss of structures, 16,000 square kilometres (160,000 hectares) of forest were burned and 48 million cubic meters of wood were lost.	0	0	3338	91585747.0000	6272996.4	29/05/1995 12:00:00 AM			91585747.0000					0	0.0	
